"","XX_rep2","XX_rep4","XX_rep6","XX_rep8","XX_rep9","XX_rep10","Xm_rep1","Xm_rep2","Xm_rep4","Xm_rep11","Xm_rep12","Xm_rep14","Xp_rep2","Xp_rep4","Xp_rep5","Xp_rep6","Xp_rep7","Xp_rep10"
"202455_at",7.32473568961864,7.57636690933092,7.52775681017594,7.50643246567297,7.21908763332354,7.9986701916572,7.62633671793516,8.12911772510345,8.16537026190357,8.29174537102776,8.16709768156281,8.2237937757177,8.28677980736708,8.23326991146829,8.32832944534909,8.27436921762916,8.59474785467188,8.34328821527819
"222380_s_at",7.88377925229158,7.77789431395,7.16009196633781,8.02682497030029,8.48142852974075,9.31411160333688,8.75421016736521,9.4683239313409,8.97939439426178,7.07203852358679,8.03077313255971,8.13296279356798,8.82962642924921,6.9958643845057,7.72794782513901,7.93216416435396,9.07592578176227,6.68117945490714
"1555372_at",6.75848780505542,7.93895485656332,6.77191479380186,7.73586535581787,7.3014178679488,8.59324771301639,7.89224564355299,7.69856884220982,7.37040567948311,6.64613095846636,7.45180023426133,7.33674180571257,7.13633720319995,6.63208924607715,7.81823622360559,6.96109535278203,8.18091787709279,6.56412536206859
"232731_x_at",4.41439317406713,4.69419430271377,4.68053026470005,5.01934744615267,5.06058951769537,5.07613214511055,5.30607141501353,4.75069636995768,6.4260898697149,3.72281640201182,4.03913822207361,4.12305378410413,5.33944628023317,3.87655598762683,4.13956418736218,4.15350184898729,4.0142321346281,3.82464929625178
"228913_at",4.40358455906667,4.32079274507173,4.40071658312628,4.78362445142474,4.97142544228749,6.09930103332088,6.63219809912651,6.08063017710024,5.59847759931457,4.38142436378115,5.19879780636208,4.84741816528985,5.69088606408494,4.42019366641345,4.82141810085651,5.38846160434271,6.23082579160075,4.75773792968084
"235167_at",8.74249324925652,8.26112485445038,7.53730898197822,9.31231073078315,9.97599474362782,8.8486461703337,9.11422614303333,8.78958269637246,7.57451383532043,6.50280462000779,8.63280079943308,8.477005438142,7.91077561238605,8.17779209360703,9.29669684031905,9.20032721879176,8.11230000797294,5.57952800869947
"219889_at",8.86584553830569,8.91358658568152,9.24038877180947,8.7888716177438,9.0333436479729,8.05656436669033,7.9200472553401,7.84765580716667,8.65326486424415,9.42905091861846,8.80279571896793,8.81011809369676,8.43204874996342,9.06213320028,8.62797660816054,8.04556249286701,8.33497983067243,8.84266638638287
"43544_at",7.17924888246928,8.21086837741646,7.63046967316938,7.47914502053851,7.69636565932717,8.60906663927294,8.47237969856807,7.8722650073843,8.83680837374657,8.74644147120572,8.78554273016159,8.49102730150961,8.96668613368755,8.37822041434421,8.38328587718022,8.63472544459484,9.03661692307109,8.39563877956117
"209707_at",7.46563801726817,7.86499286542767,7.82437783659988,7.78180230673569,6.9433755243166,6.57944236812255,7.17880908217159,7.09986983690249,6.31852005811632,8.09324265360656,7.58160141943913,7.45114091266506,6.59383888332535,7.80399754335377,7.26403403548106,7.39897078860934,6.72183191425559,7.6360720035587
"215057_at",5.67087178749335,5.39179297737268,5.5235281412381,5.34729004446385,6.00193372306742,6.83705248152993,7.10814449874999,6.25324513740563,6.32071524478704,5.5227868584966,5.95607132464092,6.04514416484016,5.7638575076813,5.50435502447895,5.95177677042946,7.01442880976292,6.25242833860211,5.68126271890099
"234759_at",5.44865510565977,6.03475998225121,5.99444571908984,6.58118263224382,6.15549242117611,7.11232620819913,6.5685016639899,6.79256108300642,6.65799109292052,6.30237984208054,6.90090566897922,6.96585745572487,7.15433031896252,6.42533440652275,6.85730631264355,6.67402523930189,6.72137185392448,6.54157971439325
"237591_at",5.9734281870974,6.31872639043408,5.83214158688164,6.19272849757153,6.47982752721436,7.0178419272845,6.15755241726652,6.3890371332993,6.83958857700622,5.95912755964488,6.84276262728976,6.91756851108439,6.60527454125019,6.99988479752944,7.11972123717259,6.507623973667,7.28395831817661,6.44966958004829
"227927_at",5.22520071248796,4.81744713716979,4.67598794663174,4.76662879334951,5.1945159225611,4.82057272355468,4.33563346995781,4.47188245289575,4.20539217383012,5.28904537336463,5.3195049817131,4.93795620404884,4.09196383230772,5.33265399672582,5.03266971751546,5.22747411538394,5.00929103806225,4.82816235340312
